date,unrate,claimrate,claimrate_1wdelay,labforce,initclaims_1wdelay,contclaims_1wdelay,initclaims,contclaims,totclaims,totclaims_1wdelay,unrate_1,unrate_2,unrate_3,unrate_4,unrate_5,unrate_6,unrate_7,unrate_8,unrate_9,unrate_10,unrate_11,unrate_12,claimrate_1,claimrate_2,claimrate_3,claimrate_4,claimrate_5,claimrate_6,claimrate_7,claimrate_8,claimrate_9,claimrate_10,claimrate_11,claimrate_12,claimrate_1wdelay_1,claimrate_1wdelay_2,claimrate_1wdelay_3,claimrate_1wdelay_4,claimrate_1wdelay_5,claimrate_1wdelay_6,claimrate_1wdelay_7,claimrate_1wdelay_8,claimrate_1wdelay_9,claimrate_1wdelay_10,claimrate_1wdelay_11,claimrate_1wdelay_12
01oct1997,4.6999998,1.8291568,1.8540332,136633,306000,2228000,318000,2182000,2500000,2534000,4.9000001,4.8000002,4.9000001,5,4.9000001,5.0999999,5.1999998,5.1999998,5.3000002,5.4000001,5.4000001,5.1999998,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.9405259,1.9667652,2.0080321,2.0567968,2.0858178,2.0367475,2.0488422,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878,1.9280158,1.9475628,2.0198441,2.0960233,2.1154459,1.9989475,2.0696576
01nov1997,4.5999999,1.8546032,1.8480163,136961,309000,2216000,325000,2209000,2534000,2525000,4.6999998,4.9000001,4.8000002,4.9000001,5,4.9000001,5.0999999,5.1999998,5.1999998,5.3000002,5.4000001,5.4000001,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.9405259,1.9667652,2.0080321,2.0567968,2.0858178,2.0367475,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878,1.9280158,1.9475628,2.0198441,2.0960233,2.1154459,1.9989475
01dec1997,4.6999998,1.8647645,1.824607,137155,310000,2189000,323000,2231000,2554000,2499000,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,5,4.9000001,5.0999999,5.1999998,5.1999998,5.3000002,5.4000001,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.9405259,1.9667652,2.0080321,2.0567968,2.0858178,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878,1.9280158,1.9475628,2.0198441,2.0960233,2.1154459
01jan1998,4.5999999,1.8825417,1.8825417,137095,307000,2275000,341000,2241000,2582000,2582000,4.6999998,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,5,4.9000001,5.0999999,5.1999998,5.1999998,5.3000002,1.8647645,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.9405259,1.9667652,2.0080321,2.0567968,1.824607,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878,1.9280158,1.9475628,2.0198441,2.0960233
01feb1998,4.5999999,1.8585652,1.8490827,137112,327000,2208000,321000,2227000,2548000,2535000,4.5999999,4.6999998,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,5,4.9000001,5.0999999,5.1999998,5.1999998,1.8825417,1.8647645,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.9405259,1.9667652,2.0080321,1.8825417,1.824607,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878,1.9280158,1.9475628,2.0198441
01mar1998,4.6999998,1.8641695,1.8583348,137236,321000,2227000,319000,2237000,2556000,2548000,4.5999999,4.5999999,4.6999998,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,5,4.9000001,5.0999999,5.1999998,1.8585652,1.8825417,1.8647645,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.9405259,1.9667652,1.8490827,1.8825417,1.824607,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878,1.9280158,1.9475628
01apr1998,4.3000002,1.8413535,1.7947186,137150,311000,2152000,317000,2210000,2527000,2463000,4.6999998,4.5999999,4.5999999,4.6999998,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,5,4.9000001,5.0999999,1.8641695,1.8585652,1.8825417,1.8647645,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.9405259,1.8583348,1.8490827,1.8825417,1.824607,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878,1.9280158
01may1998,4.4000001,1.7739701,1.7812614,137372,309000,2134000,315000,2118000,2433000,2443000,4.3000002,4.6999998,4.5999999,4.5999999,4.6999998,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,5,4.9000001,1.8413535,1.8641695,1.8585652,1.8825417,1.8647645,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.9100693,1.7947186,1.8583348,1.8490827,1.8825417,1.824607,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518,1.9041878
01jun1998,4.5,1.8053169,1.8468101,137455,349000,2188000,321000,2159000,2480000,2537000,4.4000001,4.3000002,4.6999998,4.5999999,4.5999999,4.6999998,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,5,1.7739701,1.8413535,1.8641695,1.8585652,1.8825417,1.8647645,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.9100934,1.7812614,1.7947186,1.8583348,1.8490827,1.8825417,1.824607,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445,1.9240518
01jul1998,4.5,1.9308137,1.9773744,137588,335000,2383000,315000,2339000,2654000,2718000,4.5,4.4000001,4.3000002,4.6999998,4.5999999,4.5999999,4.6999998,4.5999999,4.6999998,4.9000001,4.8000002,4.9000001,1.8053169,1.7739701,1.8413535,1.8641695,1.8585652,1.8825417,1.8647645,1.8546032,1.8291568,1.8401675,1.9292628,1.9014617,1.8468101,1.7812614,1.7947186,1.8583348,1.8490827,1.8825417,1.824607,1.8480163,1.8540332,1.8723741,1.9124101,1.8860445
